auth_id,name,birthday,birthyear,book_id,title,pub_year,pub_month,avg_review,publication
984328,Robert Abernathy,6/6/24,1924,9012198,The Penguin Science Fiction Omnibus,1973,.,3.96,1973
984328,Robert Abernathy,6/6/24,1924,2318155,Omnibus of Science Fiction,1984,9,4.03,1984
984328,Robert Abernathy,6/6/24,1924,7421032,Cities of Wonder,1967,4,3.35,1967
984328,Robert Abernathy,6/6/24,1924,5089457,Space Odysseys: A New Look at Yesterday's Futures,1976,.,3.25,1976
984328,Robert Abernathy,6/6/24,1924,13641672,When the Mountain Shook,2010,6,2.86,2010
984328,Robert Abernathy,6/6/24,1924,5051300,Earth Is the Strangest Planet: Ten Stories of Science Fiction,1977,1,5,1977
984328,Robert Abernathy,6/6/24,1924,9035895,Planet Stories - Winter/49,2009,5,5,2009
984328,Robert Abernathy,6/6/24,1924,9012198,The Penguin Science Fiction Omnibus,1973,.,3.96,1973
984328,Robert Abernathy,6/6/24,1924,2318155,Omnibus of Science Fiction,1984,9,4.03,1984
984328,Robert Abernathy,6/6/24,1924,7421032,Cities of Wonder,1967,4,3.35,1967
984328,Robert Abernathy,6/6/24,1924,5089457,Space Odysseys: A New Look at Yesterday's Futures,1976,.,3.25,1976
984328,Robert Abernathy,6/6/24,1924,13641672,When the Mountain Shook,2010,6,2.86,2010
984328,Robert Abernathy,6/6/24,1924,5051300,Earth Is the Strangest Planet: Ten Stories of Science Fiction,1977,1,5,1977
984328,Robert Abernathy,6/6/24,1924,9035895,Planet Stories - Winter/49,2009,5,5,2009
4084341,Forrest J. Ackerman,11/24/16,1916,1043988,Metropolis,2001,11,3.64,2001
4084341,Forrest J. Ackerman,11/24/16,1916,490220,"Deadly After Dark (Hot Blood, #4)",1994,11,3.72,1994
4084341,Forrest J. Ackerman,11/24/16,1916,1205095,Pulp Art: Original Cover Paintings for the Great American Pulp Magazines,1997,9,4.36,1997
4084341,Forrest J. Ackerman,11/24/16,1916,748515,Tombs,1994,12,3.36,1994
4084341,Forrest J. Ackerman,11/24/16,1916,917735,Reel Future,1994,6,4.13,1994
4084341,Forrest J. Ackerman,11/24/16,1916,280344,This Island Earth,1952,12,3.53,1952
4084341,Forrest J. Ackerman,11/24/16,1916,780684,Forrest J Ackerman's World of Science Fiction,1997,12,3.88,1997
4084341,Forrest J. Ackerman,11/24/16,1916,1150635,Science-Fiction Classics: The Stories That Metamorphosised into Movies,1999,8,3.94,1999
4084341,Forrest J. Ackerman,11/24/16,1916,2002705,The Frankenscience Monster,1969,.,3.6,1969
4084341,Forrest J. Ackerman,11/24/16,1916,1404705,Sci-Fi Womanthology,2003,7,4.12,2003
4084341,Forrest J. Ackerman,11/24/16,1916,2633361,Lon of 1000 Faces,2002,1,4.71,2002
4084341,Forrest J. Ackerman,11/24/16,1916,1237396,Famous Forry Fotos: Over 70 Years of AckerMemories,2001,11,4.12,2001
4084341,Forrest J. Ackerman,11/24/16,1916,11552606,Vampirella 25th Anniversary Special,1996,.,3.22,1996
4084341,Forrest J. Ackerman,11/24/16,1916,13644365,Micro-Man,2010,5,3.25,2010
4084341,Forrest J. Ackerman,11/24/16,1916,407715,Gosh! Wow! (Sense of Wonder) Science Fiction,1982,1,3.83,1982
4084341,Forrest J. Ackerman,11/24/16,1916,8839276,Best Science Fiction for 1973,1973,6,4,1973
4084341,Forrest J. Ackerman,11/24/16,1916,8650371,La mejor ciencia ficción,1976,.,3.5,1976
4084341,Forrest J. Ackerman,11/24/16,1916,9283272,Las Mejores Historia de Horror,1975,1,4,1975
4084341,Forrest J. Ackerman,11/24/16,1916,12538916,Year's Best S.F. For 1973,1973,.,4,1973
4084341,Forrest J. Ackerman,11/24/16,1916,7248633,Monsters,1965,.,4,1965
4084341,Forrest J. Ackerman,11/24/16,1916,9721059,Rainbow Fantasia: 35 Spectrumatic Tales of Wonder,2001,8,1.5,2001
4,Douglas Adams,3/11/52,1952,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",1995,9,4.17,1995
4,Douglas Adams,3/11/52,1952,13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",2002,4,4.35,2002
4,Douglas Adams,3/11/52,1952,8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",2005,5,4.19,2005
4,Douglas Adams,3/11/52,1952,8698,"So Long, and Thanks for All the Fish (Hitchhiker's Guide, #4)",2002,3,4.05,2002
4,Douglas Adams,3/11/52,1952,357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",1991,2,4.03,1991
4,Douglas Adams,3/11/52,1952,841628,The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,1992,.,4.49,1992
4,Douglas Adams,3/11/52,1952,8704,Starship Titanic,2001,11,3.41,2001
4,Douglas Adams,3/11/52,1952,286041,The Dirk Gently Omnibus,2001,8,4.18,2001
4,Douglas Adams,3/11/52,1952,372299,The Hitch Hiker's Guide to the Galaxy: A Trilogy in Five Parts,1995,10,4.39,1995
4,Douglas Adams,3/11/52,1952,2323,"The Hitchhiker's Guide to the Galaxy: The Primary Phase (Hitchhiker's Guide: Radio Play, #1)",2001,4,4.52,2001
4,Douglas Adams,3/11/52,1952,8224898,The Hitchhikers Guide to the Galaxy Live,2010,.,4.09,2010
4,Douglas Adams,3/11/52,1952,613099,"The Hitchhiker's Trilogy (Hitchhiker's Guide, #1-3)",1985,10,4.43,1985
4,Douglas Adams,3/11/52,1952,140422,"The Original Hitchhiker Radio Scripts (Hitchhiker's Guide: Radio Play, #1-2)",1995,4,4.51,1995
4,Douglas Adams,3/11/52,1952,15847717,Young Zaphod Plays It Safe,2012,3,3.45,2012
4,Douglas Adams,3/11/52,1952,6125323,"The Hitchhiker's Guide to the Galaxy: The Secondary Phase (Hitchhiker's Guide: Radio Play, #2)",2009,1,4.5,2009
4,Douglas Adams,3/11/52,1952,17,"The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)",2005,10,4.32,2005
4,Douglas Adams,3/11/52,1952,1473012,"The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play, #5)",2007,10,4.38,2007
4,Douglas Adams,3/11/52,1952,8710,The Illustrated Hitchhiker's Guide To The Galaxy,1994,10,4.2,1994
4,Douglas Adams,3/11/52,1952,841643,Doctor Who: Shada,2003,12,4.11,2003
40287,Robert  Adams,5/8/37,1937,71243,Robert Adams: Beauty in Photography: Essays in Defense of Traditional Values,2005,6,4.28,2005
40287,Robert  Adams,5/8/37,1937,3061104,The New West: Landscapes Along the Colorado Front Range,2008,5,4.57,2008
40287,Robert  Adams,5/8/37,1937,6707960,"Robert Adams: Summer Nights, Walking",2010,12,4.42,2010
40287,Robert  Adams,5/8/37,1937,71245,Along Some Rivers: Photographs and Conversations,2006,5,3.82,2006
40287,Robert  Adams,5/8/37,1937,6504014,"What We Bought: The New World: Scenes from the Denver Metropolitan Area, 1970-1974",2009,6,4.62,2009
40287,Robert  Adams,5/8/37,1937,9081682,What Can We Believe Where?: Photographs of the American West,2010,10,4.67,2010
40287,Robert  Adams,5/8/37,1937,2932214,To Make It Home: Photographs of the American West,1989,4,4,1989
40287,Robert  Adams,5/8/37,1937,1445932,Los Angeles Spring,1986,9,4.6,1986
40287,Robert  Adams,5/8/37,1937,6673140,"denver: A Photographic Survey of the Metropolitan Area, 1970-1974",2009,6,4.75,2009
40287,Robert  Adams,5/8/37,1937,1720927,Listening to the River: Seasons in the American West,1994,9,4.43,1994
40287,Robert  Adams,5/8/37,1937,71244,Turning Back,2005,5,4.4,2005
40287,Robert  Adams,5/8/37,1937,2372347,"EW 100: Centennial Essays in Honor of Edward Weston (Untitled 41, The Friends of Photography, Carmel, California)",1986,7,4.75,1986
40287,Robert  Adams,5/8/37,1937,1686703,Cottonwoods,1995,1,3.6,1995
40287,Robert  Adams,5/8/37,1937,13220886,Prairie,2011,11,4,2011
40287,Robert  Adams,5/8/37,1937,6673235,From the Missouri West: Photographs,1980,10,3.67,1980
40287,Robert  Adams,5/8/37,1937,3061105,Time Passes,2008,4,2.5,2008
40287,Robert  Adams,5/8/37,1937,6673150,Bodhisattva : a Gandharan face,2001,12,5,2001
40287,Robert  Adams,5/8/37,1937,3232216,Aditi,1985,5,5,1985
40287,Robert  Adams,5/8/37,1937,13220885,"This Day: Photographs From Twenty Five Years, The Northwest Coast",2011,11,5,2011
40287,Robert  Adams,5/8/37,1937,1519253,West from the Columbia: Views at the River Mouth,1995,8,4,1995
40287,Robert  Adams,5/8/37,1937,2583348,Robert Adams: Eden,1999,1,5,1999
40287,Robert  Adams,5/8/37,1937,11058282,"Robert Adams: The Place We Live, A Retrospective Selection of Photographs, 1964-2009",2011,9,5,2011
40287,Robert  Adams,5/8/37,1937,3305287,The Architecture and Art of Early Hispanic Colorado,1998,10,5,1998
40287,Robert  Adams,5/8/37,1937,3904901,Notes for Friends,1999,12,5,1999
7126,Jerry Ahern,6/23/46,1946,1785994,"Total War (Survivalist, #1)",1983,.,3.72,1983
7126,Jerry Ahern,6/23/46,1946,1598110,"The Nightmare Begins (The Survivalist, #2)",1981,8,3.61,1981
7126,Jerry Ahern,6/23/46,1946,1926091,The Quest (The Survivalist #3),1981,10,3.64,1981
7126,Jerry Ahern,6/23/46,1946,1598055,The Doomsayer (Survivalist #4),1981,.,3.76,1981
7126,Jerry Ahern,6/23/46,1946,603557,The Web (Survivalist #5),1983,2,3.64,1983
7126,Jerry Ahern,6/23/46,1946,2691992,"The Savage Horde (The Survivalist, #6)",1983,8,3.71,1983
7126,Jerry Ahern,6/23/46,1946,603556,The End Is Coming (The Survivalist #8),1984,5,3.67,1984
7126,Jerry Ahern,6/23/46,1946,2747619,"The Prophet (Survivalist, #7)",1984,3,3.66,1984
7126,Jerry Ahern,6/23/46,1946,1597798,Earth Fire (The Survivalist #9),1984,7,3.72,1984
7126,Jerry Ahern,6/23/46,1946,2844643,The Awakening (The Survivalist #10),1984,11,3.7,1984
7126,Jerry Ahern,6/23/46,1946,2844645,The Reprisal (The Survivalist # 11),1985,.,3.64,1985
7126,Jerry Ahern,6/23/46,1946,1988931,The Rebellion (Survivalist #12),1985,10,3.64,1985
7126,Jerry Ahern,6/23/46,1946,603553,Overlord (Survivalist #15),1987,5,3.65,1987
7126,Jerry Ahern,6/23/46,1946,603552,The Terror (Survivalist #14),1987,1,3.73,1987
7126,Jerry Ahern,6/23/46,1946,1634902,"The Ordeal (The Survivalist, #17)",1988,11,3.55,1988
7126,Jerry Ahern,6/23/46,1946,228449,Firestorm,1990,5,3.6,1990
7126,Jerry Ahern,6/23/46,1946,1597899,Mid-wake,1989,.,3.78,1989
7126,Jerry Ahern,6/23/46,1946,10906,Final Rain,1989,6,3.41,1989
7126,Jerry Ahern,6/23/46,1946,366515,To End All War,1990,10,3.64,1990
7126,Jerry Ahern,6/23/46,1946,3383014,The Struggle,1989,2,3.54,1989
7126,Jerry Ahern,6/23/46,1946,1689620,The Arsenal,1988,.,3.52,1988
7126,Jerry Ahern,6/23/46,1946,7840839,Written in Time,2010,10,2.91,2010
7126,Jerry Ahern,6/23/46,1946,1586745,The Takers,1984,8,3.58,1984
7126,Jerry Ahern,6/23/46,1946,228451,Brutal Conquest,1991,10,3.71,1991
7126,Jerry Ahern,6/23/46,1946,3383061,Countdown,1993,7,3.86,1993
7126,Jerry Ahern,6/23/46,1946,1689619,Blood Assassins,1992,.,3.71,1992
7126,Jerry Ahern,6/23/46,1946,603593,WerewolveSS,1990,4,3.26,1990
7126,Jerry Ahern,6/23/46,1946,228446,Call to Battle,1992,3,3.65,1992
7126,Jerry Ahern,6/23/46,1946,1634900,War Mountain,1993,3,3.74,1993
6983656,Humayun Ahmed,11/13/48,1948,5273533,____,1985,6,3.97,1985
6983656,Humayun Ahmed,11/13/48,1948,2580306,_____ _ _____ ____,2004,2,4.17,2004
6983656,Humayun Ahmed,11/13/48,1948,14759169,_______ _______,2009,2,4.3,2009
6983656,Humayun Ahmed,11/13/48,1948,12359912,_________,1990,5,3.86,1990
6983656,Humayun Ahmed,11/13/48,1948,8547493,________,1988,.,3.83,1988
6983656,Humayun Ahmed,11/13/48,1948,8547530,_________,1990,8,4.21,1990
6983656,Humayun Ahmed,11/13/48,1948,3922596,_____ ____ _______ _______,1996,4,3.73,1996
6983656,Humayun Ahmed,11/13/48,1948,3922661,____ ____ ____ ______,2006,2,3.12,2006
6983656,Humayun Ahmed,11/13/48,1948,3922855,__ _____ ____,2007,2,2.98,2007
6983656,Humayun Ahmed,11/13/48,1948,3918453,________-__ ____,2007,2,3.88,2007
6983656,Humayun Ahmed,11/13/48,1948,3128428,___ _____ ___ ___,1997,2,3.7,1997
6983656,Humayun Ahmed,11/13/48,1948,15961145,_____ ___ ___,1992,2,4.27,1992
6983656,Humayun Ahmed,11/13/48,1948,3128417,___ ____ ...,1995,2,3.44,1995
6983656,Humayun Ahmed,11/13/48,1948,3922939,____ ________,2008,2,2.98,2008
6983656,Humayun Ahmed,11/13/48,1948,10965547,______ ______,2012,.,4.02,2012
6983656,Humayun Ahmed,11/13/48,1948,3923073,______ _____,2000,2,3.52,2000
6983656,Humayun Ahmed,11/13/48,1948,12359970,____,1993,2,3.68,1993
6983656,Humayun Ahmed,11/13/48,1948,3128423,___,1996,6,3.84,1996
6983656,Humayun Ahmed,11/13/48,1948,16126845,________ _____,1990,2,3.59,1990
6983656,Humayun Ahmed,11/13/48,1948,16169524,_______,2005,2,3.42,2005
6983656,Humayun Ahmed,11/13/48,1948,1622304,In Blissful Hell,1993,4,4.16,1993
6983656,Humayun Ahmed,11/13/48,1948,8547540,____ ____ ______ ___ ___ ____,1999,5,3.3,1999
6983656,Humayun Ahmed,11/13/48,1948,3922547,__ _______ _____,2001,2,3.24,2001
6983656,Humayun Ahmed,11/13/48,1948,3922899,__ ___ _____ ___ __,2002,2,3.49,2002
6983656,Humayun Ahmed,11/13/48,1948,3923032,__ ___ ____,2003,2,3.53,2003
6983656,Humayun Ahmed,11/13/48,1948,15832729,________ _____ ___,2001,6,3.69,2001
6983656,Humayun Ahmed,11/13/48,1948,1944500,_____ _______ _____,1997,.,3.53,1997
